prefix,Treatment,SampleID,Latitude,Longitude,Moisture_m3_m3,Temperature_degC,Conductivity_mS_cm,Notes,Date_sampled
CNH2_MRW_01,pre,CNH2_MRW_01_pre,35.47194,-76.01374,0.425,13.1,2.065,"bare soil, near pine",27-Apr-26
CNH2_MRW_02,fresh,CNH2_MRW_02_fresh,35.47194,-76.01374,0.425,13.1,2.065,"bare soil, near pine",27-Apr-26
CNH2_MRW_03,salt,CNH2_MRW_03_salt,35.47194,-76.01374,0.425,13.1,2.065,"bare soil, near pine",27-Apr-26
CNH2_MRW_04,pre,CNH2_MRW_04_pre,35.47194,-76.01363,0.52,14.2,3.508,"bare soil, in pines, near creek",27-Apr-26
CNH2_MRW_05,fresh,CNH2_MRW_05_fresh,35.47194,-76.01363,0.52,14.2,3.508,"bare soil, in pines, near creek",27-Apr-26
CNH2_MRW_06,salt,CNH2_MRW_06_salt,35.47194,-76.01363,0.52,14.2,3.508,"bare soil, in pines, near creek",27-Apr-26
CNH2_MRW_07,pre,CNH2_MRW_07_pre,35.47199,-76.01368,0.61,14.1,5.848,"bare soil, ""ditch"" leading into creek",27-Apr-26
CNH2_MRW_08,fresh,CNH2_MRW_08_fresh,35.47199,-76.01368,0.61,14.1,5.848,"bare soil, ""ditch"" leading into creek",27-Apr-26
CNH2_MRW_09,salt,CNH2_MRW_09_salt,35.47199,-76.01368,0.61,14.1,5.848,"bare soil, ""ditch"" leading into creek",27-Apr-26
CNH2_MRW_10,pre,CNH2_MRW_10_pre,35.47192,-76.01375,0.221,13.5,1.042,grass,27-Apr-26
CNH2_MRW_11,fresh,CNH2_MRW_11_fresh,35.47192,-76.01375,0.221,13.5,1.042,grass,27-Apr-26
CNH2_MRW_12,salt,CNH2_MRW_12_salt,35.47192,-76.01375,0.221,13.5,1.042,grass,27-Apr-26
CNH2_MRW_13,pre,CNH2_MRW_13_pre,35.47197,-76.01376,0.41,14.4,2.636,grass,27-Apr-26
CNH2_MRW_14,fresh,CNH2_MRW_14_fresh,35.47197,-76.01376,0.41,14.4,2.636,grass,27-Apr-26
CNH2_MRW_15,salt,CNH2_MRW_15_salt,35.47197,-76.01376,0.41,14.4,2.636,grass,27-Apr-26
CNH2_MRW_16,pre,CNH2_MRW_16_pre,35.47194,-76.01386,0.127,13.6,0.511,pine and pine needle litter,27-Apr-26
CNH2_MRW_17,fresh,CNH2_MRW_17_fresh,35.47194,-76.01386,0.127,13.6,0.511,pine and pine needle litter,27-Apr-26
CNH2_MRW_18,salt,CNH2_MRW_18_salt,35.47194,-76.01386,0.127,13.6,0.511,pine and pine needle litter,27-Apr-26
CNH2_MRW_19,pre,CNH2_MRW_19_pre,35.47204,-76.0138,0.529,13.6,3.656,"edge of 2nd creek, wet, muddy",27-Apr-26
CNH2_MRW_20,fresh,CNH2_MRW_20_fresh,35.47204,-76.0138,0.529,13.6,3.656,"edge of 2nd creek, wet, muddy",27-Apr-26
CNH2_MRW_21,salt,CNH2_MRW_21_salt,35.47204,-76.0138,0.529,13.6,3.656,"edge of 2nd creek, wet, muddy",27-Apr-26
CNH2_MRW_22,pre,CNH2_MRW_22_pre,35.47194,-76.01377,0.402,14.2,2.109,grass directly next to Marsh Rd creek,27-Apr-26
CNH2_MRW_23,fresh,CNH2_MRW_23_fresh,35.47194,-76.01377,0.402,14.2,2.109,grass directly next to Marsh Rd creek,27-Apr-26
CNH2_MRW_24,salt,CNH2_MRW_24_salt,35.47194,-76.01377,0.402,14.2,2.109,grass directly next to Marsh Rd creek,27-Apr-26
CNH2_MRW_25,pre,CNH2_MRW_25_pre,35.47185,-76.0139,0.101,14.4,0.168,"bare soil, dead grass, lots of litter, near Marsh Rd creek",27-Apr-26
CNH2_MRW_26,fresh,CNH2_MRW_26_fresh,35.47185,-76.0139,0.101,14.4,0.168,"bare soil, dead grass, lots of litter, near Marsh Rd creek",27-Apr-26
CNH2_MRW_27,salt,CNH2_MRW_27_salt,35.47185,-76.0139,0.101,14.4,0.168,"bare soil, dead grass, lots of litter, near Marsh Rd creek",27-Apr-26
CNH2_MRW_28,pre,CNH2_MRW_28_pre,35.47186,-76.01378,0.178,14.8,0.382,Bare soil right on edge of creek,27-Apr-26
CNH2_MRW_29,fresh,CNH2_MRW_29_fresh,35.47186,-76.01378,0.178,14.8,0.382,Bare soil right on edge of creek,27-Apr-26
CNH2_MRW_30,salt,CNH2_MRW_30_salt,35.47186,-76.01378,0.178,14.8,0.382,Bare soil right on edge of creek,27-Apr-26
CNH2_MRW_31,pre,CNH2_MRW_31_pre,35.47199,-76.01371,0.564,14.3,5.093,"Bare soil ""ditch""",27-Apr-26
CNH2_MRW_32,fresh,CNH2_MRW_32_fresh,35.47199,-76.01371,0.564,14.3,5.093,"Bare soil ""ditch""",27-Apr-26
CNH2_MRW_33,salt,CNH2_MRW_33_salt,35.47199,-76.01371,0.564,14.3,5.093,"Bare soil ""ditch""",27-Apr-26
CNH2_MRW_34,extra,CNH2_MRW_34_extra,35.47204,-76.01386,0.529,13.6,3.856,"edge of 2nd creek, wet, muddy",27-Apr-26
CNH2_MRW_35,extra,CNH2_MRW_35_extra,35.47196,-76.01366,0.261,14.3,1.811,Bare soil next to Marsh Rd creek,27-Apr-26
CNH2_MRW_36,extra,CNH2_MRW_36_extra,35.47195,-76.01384,0.436,14.6,1.384,"Grass, pine litter",27-Apr-26