Orig ID,Timepoint,Time,uM Ar,N2 flux (umol N m-2 hr-1),O2 flux (umol O2 m-2 hr-1),Ar flux (umol Ar m-2 hr-1)
A04-T1,1.00,6/18/25 13:53,2.17E-15,21.60,-384.01,1.77E-15
A04-T2,2.00,6/18/25 18:15,2.03E-15,-53.34,-682.92,-2.31E-15
A04-T3,3.00,6/19/25 9:45,1.87E-15,-323.14,-2236.74,-6.14E-15
A23-T1,1.00,6/18/25 13:53,2.20E-15,31.14,-405.06,1.48E-15
A23-T2,2.00,6/18/25 18:15,1.96E-15,-33.36,-1300.02,-3.56E-15
A23-T3,3.00,6/19/25 9:45,1.81E-15,-67.58,-2711.36,-7.67E-15
B12-T1,1.00,6/18/25 13:53,2.14E-15,87.02,-1061.93,2.77E-16
B12-T2,2.00,6/18/25 18:15,2.00E-15,32.65,-710.63,-1.13E-15
B12-T3,3.00,6/19/25 9:45,1.96E-15,-123.76,-1696.33,-2.40E-15
B13-T1,1.00,6/18/25 13:53,2.17E-15,-21.75,-644.67,9.53E-16
B13-T2,2.00,6/18/25 18:15,1.94E-15,-59.88,-1421.55,-3.89E-15
B13-T3,3.00,6/19/25 9:45,1.82E-15,-84.78,-2047.28,-5.26E-15
B15-T1,1.00,6/18/25 13:53,2.12E-15,-38.52,-1204.30,1.27E-16
B15-T2,2.00,6/18/25 18:15,1.93E-15,-48.26,-1631.66,-4.42E-15
B15-T3,3.00,6/19/25 9:45,1.85E-15,-180.35,-1952.34,-4.62E-15
B24-T1,1.00,6/18/25 13:53,2.14E-15,18.83,-654.96,2.76E-16
B24-T2,2.00,6/18/25 18:15,1.96E-15,-32.88,-574.69,-1.53E-15
B24-T3,3.00,6/19/25 9:45,1.85E-15,-189.47,-1553.27,-3.68E-15
C16-T1,1.00,6/18/25 13:53,2.13E-15,-43.87,-1407.13,4.20E-16
C16-T2,2.00,6/18/25 18:15,1.95E-15,-169.96,-2841.24,-7.80E-15
C16-T3,3.00,6/19/25 9:45,1.83E-15,-637.81,-5196.89,-1.32E-14
C17-T1,1.00,6/18/25 13:53,2.09E-15,-6.85,-1991.09,-1.03E-15
C17-T2,2.00,6/18/25 18:15,1.93E-15,-93.78,-2590.64,-6.79E-15
C17-T3,3.00,6/19/25 9:45,1.88E-15,-92.50,-2527.21,-5.55E-15
C18-T1,1.00,6/18/25 13:53,2.26E-15,-42.15,486.33,1.60E-15
C18-T2,2.00,6/18/25 18:15,2.04E-15,-59.43,22.53,-1.09E-15
C18-T3,3.00,6/19/25 9:45,1.84E-15,-232.44,-1398.68,-4.30E-15
C20-T1,1.00,6/18/25 13:53,2.09E-15,15.45,-692.10,-5.04E-16
C20-T2,2.00,6/18/25 18:15,1.95E-15,15.38,-1001.04,-2.58E-15
C20-T3,3.00,6/19/25 9:45,1.85E-15,-129.82,-1882.96,-4.11E-15
C22-T1,1.00,6/18/25 13:53,2.08E-15,5.24,-597.00,-6.29E-16
C22-T2,2.00,6/18/25 18:15,1.97E-15,21.16,-873.14,-2.62E-15
C22-T3,3.00,6/19/25 9:45,1.90E-15,-237.03,-1545.63,-4.17E-15
C25-T1,1.00,6/18/25 13:53,2.06E-15,38.01,-1038.89,-9.81E-16
C25-T2,2.00,6/18/25 18:15,1.92E-15,13.23,-1070.91,-2.69E-15
C25-T3,3.00,6/19/25 9:45,1.89E-15,-99.63,-1592.47,-3.07E-15