Core number,Sampling_Zone,SampleID,Moisture_m3_m3,Temperature_degC,Conductivity_mS_cm,Date_sampled
1,A,A01,0.533,26.5,0.087,6/9/25
2,A,A02,0.545,26.6,0.110,6/9/25
3,A,A03,0.544,26.2,0.098,6/9/25
4,A,A04,0.538,25.8,0.110,6/9/25
5,A,A05,0.550,25.5,0.120,6/9/25
6,A,A06,0.548,25.6,0.126,6/9/25
7,A,A07,0.540,25.2,0.150,6/9/25
8,B,B08,0.577,25.9,0.101,6/9/25
9,B,B09,0.588,25.0,0.138,6/9/25
10,B,B10,0.589,24.6,0.126,6/9/25
11,B,B11,0.586,24.6,0.147,6/9/25
12,B,B12,0.570,24.5,0.102,6/9/25
13,B,B13,0.453,24.6,0.090,6/9/25
14,B,B14,0.455,24.7,0.267,6/9/25
15,B,B15,0.547,24.6,0.121,6/9/25
16,C,C16,0.162,24.7,0.003,6/9/25
17,C,C17,0.112,24.5,0.003,6/9/25
18,C,C18,0.114,24.4,0.000,6/9/25
19,C,C19,0.167,24.4,0.007,6/9/25
20,C,C20,0.141,24.2,0.004,6/9/25
21,C,C21,0.126,24.7,0.000,6/9/25
22,C,C22,0.084,24.7,0.000,6/9/25
23,A,A23,0.555,25.3,0.153,6/9/25
24,B,B24,0.559,24.7,0.076,6/9/25
25,C,C25,0.147,24.6,0.000,6/9/25
26,A,A26,0.580,5.8,0.226,12/16/25
27,A,A27,0.594,4.7,0.226,12/16/25
28,A,A28,0.589,4.1,0.243,12/16/25
29,A,A29,0.578,3.5,0.217,12/16/25
30,A,A30,0.578,3.8,0.239,12/16/25
31,A,A31,0.625,2.9,0.314,12/16/25
32,A,A32,0.573,3.2,0.314,12/16/25
33,B,B33,0.581,5.8,0.183,12/16/25
34,B,B34,0.602,4.8,0.144,12/16/25
35,B,B35,0.646,4.0,0.184,12/16/25
36,B,B36,0.614,4.6,0.243,12/16/25
37,B,B37,0.612,4.8,0.244,12/16/25
38,B,B38,0.596,5.0,0.239,12/16/25
39,B,B39,0.631,4.6,0.274,12/16/25
40,C,C40,0.193,8.8,0.005,12/16/25
41,C,C41,0.306,7.1,0.008,12/16/25
42,C,C42,0.334,6.5,0.018,12/16/25
43,C,C43,0.338,5.7,0.020,12/16/25
44,C,C44,0.354,5.7,0.023,12/16/25
45,C,C45,0.246,5.6,0.000,12/16/25
46,C,C46,0.170,5.4,0.000,12/16/25
47,C,C47,0.331,5.4,0.031,12/16/25
48,A,A48,0.597,4.4,0.250,12/16/25
49,C,C49,0.180,5.0,0.005,12/16/25